-, -7.14046, 0, 1, 280.  0
58.505, -8.16807, -7.14046, 0, 1, 280.  0
58.928, -8.16847, -7.14078, 0, 1, 280.  0
58.868, -8.16827, -7.14062, 0, 1, 280.  0
58.827, -8.16827, -7.14062, 0, 1, 280.  0
58.847, -8.16807, -7.14046, 0, 1, 280.  0
58.807, -8.16847, -7.14078, 0, 1, 280.  0
58.847, -8.16807, -7.14046, 0, 1, 280.  0
58.807, -8.16888, -7.14110, 0, 1, 280.  0
58.807, -8.16847, -7.14078, 0, 1, 280.  0
58.827, -8.16827, -7.14062, 0, 1, 280.  0
58.868, -8.16868, -7.14094, 0, 1, 280.  0
58.807, -8.16787, -7.14030, 0, 1, 280.  0
58.847, -8.16888, -7.14110, 0, 1, 280.  0
58.827, -8.16827, -7.14062, 0, 1, 280.  0
58.827, -8.16847, -7.14078, 0, 1, 280.  0
58.888, -8.16787, -7.14030, 0, 1, 280.  0
58.827, -8.16868, -7.14094, 0, 1, 280.  0
58.868, -8.16847, -7.14078, 0, 1, 280.  0
58.767, -8.16868, -7.14094, 0, 1, 280.  0
58.847, -8.16807, -7.14046, 0, 1, 280.  0
58.807, -8.16847, -7.14078, 0, 1, 280.  0
58.868, -8.16847, -7.14078, 0, 1, 280.  0
58.787, -8.16847, -7.14078, 0, 1, 280.  0
58.827, -8.16868, -7.14094, 0, 1, 280.  0
58.787, -8.16827, -7.14062, 0, 1, 280.  0
58.868, -8.16847, -7.14078, 0, 1, 280.  0
58.807, -8.16827, -7.14062, 0, 1, 280.  0
58.868, -8.16928, -7.14142, 0, 1, 280.  0
58.827, -8.16827, -7.14062, 0, 1, 280.  0
58.827, -8.16868, -7.14094, 0, 1, 280.  0
58.747, -8.16827, -7.14062, 0, 1, 280.  0
58.888, -8.16888, -7.14110, 0, 1, 280.  0
58.827, -8.16747, -6.12997, 0, 1, 239.999
58.827, -8.16827, -7.14062, 0, 1, 280.  0
58.807, -8.16787, -7.14030, 0, 1, 280.  0
58.767, -8.16888, -7.14110, 0, 1, 280.  0
59.472, -8.16747, -6.12997, 0, 1, 239.999

 System Startup!

 Motor Initialized! 

 Load Cell Configured! 

 Controller Initialized! 
58.968, -8.16968, -7.14175, 0, 1, 280.  0
58.928, -8.16928, -7.14142, 0, 1, 280.  0
58.948, -8.16948, -7.14158, 0, 1, 280.  0
58.928, -8.16888, -7.14110, 0, 1, 280.  0
58.908, -8.16928, -7.14142, 0, 1, 280.  0
58.989, -8.16928, -7.14142, 0, 1, 280.  0
58.968, -8.16968, -7.14175, 0, 1, 280.  0
58.948, -8.16888, -7.14110, 0, 1, 280.  0
58.948, -8.16968, -7.14175, 0, 1, 280.  0
58.928, -8.16928, -7.14142, 0, 1, 280.  0
58.908, -8.16928, -7.14142, 0, 1, 280.  0
58.908, -8.16908, -7.14126, 0, 1, 280.  0
58.908, -8.16928, -7.14142, 0, 1, 280.  0
58.948, -8.16968, -7.14175, 0, 1, 280.  0
58.948, -8.16888, -7.14110, 0, 1, 280.  0
58.908, -8.16928, -7.14142, 0, 1, 280.  0
58.928, -8.16888, -7.14110, 0, 1, 280.  0
58.948, -8.16928, -7.14142, 0, 1, 280.  0
58.888, -8.16868, -7.14094, 0, 1, 280.  0
58.888, -8.16968, -7.14175, 0, 1, 280.  0
58.928, -8.16948, -7.14158, 0, 1, 280.  0
58.928, -8.16968, -7.14175, 0, 1, 280.  0
58.968, -8.16928, -7.14142, 0, 1, 280.  0
58.908, -8.16928, -7.14142, 0, 1, 280.  0
58.928, -8.16948, -7.14158, 0, 1, 280.  0
58.928, -8.16948, -7.14158, 0, 1, 280.  0
58.968, -8.16948, -7.14158, 0, 1, 280.  0
58.908, -8.16928, -7.14142, 0, 1, 280.  0
58.968, -8.16948, -7.14158, 0, 1, 280.  0
58.908, -8.16948, -7.14158, 0, 1, 280.  0
58.948, -8.16948, -7.14158, 0, 1, 280.  0
58.989, -8.16908, -7.14126, 0, 1, 280.  0
58.968, -8.16948, -7.14158, 0, 1, 280.  0
58.908, -8.16948, -7.14158, 0, 1, 280.  0
58.948, -8.16948, -7.14158, 0, 1, 280.  0
58.888, -8.16928, -7.14142, 0, 1, 280.  0
58.908, -8.16968, -7.14175, 0, 1, 280.  0
58.847, -8.16727, -6.12981, 0, 1, 239.999
55.906, -7.14054, -4.8938, 0, 1, 159.999
52.199, -2.4501, 0.500, 0, 1, 0.  0
50.346, 0. 84, 0.  0, 1, 1, 0.  0
55.100, -4.8858, -1.2943, 0, 1, 39.999
59.391, -9.18190, -8.16271, 0, 1, 319.999
56.208, -6.12954, -4.8172, 0, 1, 159.999
49.379, 0.600, 0. 11, 1, 1, 0.  0
47.888, 2. 31, 0.756, 1, 1, 0.  0
53.670, -2.4703, 0.255, 0, 1, 0.  0
59.875, -9.18311, -8.16380, 0, 1, 319.999
56.289, -6.12591, -3.6954, 0, 1, 119.999
47.465, 2. 71, 0.496, 1, 1, 0.  0
45.591, 4.509, 2.644, 1, 1, 79.999
51.494, -1.2514, 0.817, 1, 1, 0.  0
60.641, -10.20016, -10.20016, 0, 1, 400.  0
56.631, -7.14095, -4.8966, 0, 1, 159.999
45.994, 3.421, 1.180, 1, 1, 39.999
44. 20, 5.496, 3.748, 1, 1, 119.999
52.663, -1.2836, 0.772, 1, 1, 0.  0
62.554, -12.24716, -15.30259, 0, 1, 600.  0
56.531, -7.14296, -5.10107, 0, 1, 200.  0
45.793, 3.380, 1.178, 1, 1, 39.999
45.732, 5. 53, 3.526, 1, 1, 119.999
56.128, -4.8879, -1.2175, 0, 1, 39.999
64.650, -14.28630, -20.40482, 0, 1, 800.  0
57.659, -8.16404, -6.12723, 0, 1, 239.999
49.197, 0.681, 0. 12, 1, 1, 0.  0
48.694, 1.366, 0.468, 1, 1, 0.  0
56.551, -5.10866, -2.4933, 0, 1, 79.999
62.575, -12.24272, -14.28727, 0, 1, 560.  0
58.445, -8.16727, -6.12981, 0, 1, 239.999
52.300, -2.4582, 0.516, 0, 1, 0.  0
51.675, -1.2434, 0.143, 0, 1, 0.  0
56.349, -6.12027, -3.6616, 0, 1, 119.999
59. 69, -9.18150, -8.16235, 0, 1, 319.999
56.369, -6.12531, -3.6918, 0, 1, 119.999
52.260, -2.4340, 0.468, 0, 1, 0.  0
51.877, -1.2736, 0.173, 0, 1, 0.  0
55. 80, -4.8858, -1.2943, 0, 1, 39.999
56.611, -6.12591, -3.6954, 0, 1, 119.999
53.529, -3.6791, -1.2137, 0, 1, 39.999
50.225, 0.205, 0.  0, 1, 1, 0.  0
51.494, -1.2272, 0.127, 0, 1, 0.  0
55. 60, -4.8999, -1.2999, 0, 1, 39.999
54.858, -4.8818, -1.2927, 0, 1, 39.999
50.567, -1.2172, 0.117, 0, 1, 0.  0
49. 36, 1.225, 0.216, 1, 1, 0.  0
50.809, 0.930, 0.151, 1, 1, 0.  0
54.214, -3.6589, -1.2076, 0, 1, 39.999
51.857, -2.4380, 0.476, 0, 1, 0.  0
48.311, 2.172, 0.557, 1, 1, 0.  0
48. 89, 2.111, 0.947, 1, 1, 0.  0
51.252, -1.2031, 0.515, 1, 1, 0.  0
53.589, -2.4804, 0.441, 0, 1, 0.  0
50.708, 0.930, 0.  0, 1, 1, 0.  0
47.304, 2.756, 0.819, 1, 1, 0.  0
47.807, 2.232, 1.189, 1, 1, 39.999
51.917, -1.2897, 0.553, 1, 1, 0.  0
54.315, -4.8456, -1.2694, 0, 1, 39.999
51. 51, -1.2152, 0.115, 0, 1, 0.  0
47.868, 2.272, 0.655, 1, 1, 0.  0
48.130, 1.749, 0.776, 1, 1, 0.  0
51.716, -1.2575, 0.466, 1, 1, 0.  0
53.952, -4.8415, -1.2732, 0, 1, 39.999
50.789, -1.2010, 0.101, 0, 1, 0.  0
47.827, 2.111, 0.637, 1, 1, 0.  0
48.472, 1.688, 0.746, 1, 1, 0.  0
51.675, -1.2575, 0.401, 1, 1, 0.  0
54.677, -3.6831, -1.2117, 0, 1, 39.999
50.547, 0.930, 0.  0, 1, 1, 0.  0
48.331, 1.608, 0.329, 1, 1, 0.  0
49. 16, 1.104, 0.535, 1, 1, 0.  0
51.615, -1.2454, 0.208, 1, 1, 0.  0
52.521, -2.4401, 0.480, 0, 1, 0.  0
50.406, 0.487, 0.  0, 1, 1, 0.  0
48.391, 1.628, 0.314, 1, 1, 0.  0
48.230, 1.769, 0.651, 1, 1, 0.  0
49.338, 0.721, 0.690, 1, 1, 0.  0
50.225, 0.265, 0.703, 1, 1, 0.  0
49.439, 0.540, 0.714, 1, 1, 0.  0
46.598, 1.648, 1. 86, 1, 1, 39.999
50.527, 0.426, 0.994, 1, 1, 0.  0
50.950, 0.950, 0.795, 1, 1, 0.  0
47.968, 2. 51, 1.301, 1, 1, 39.999
46. 54, 4.126, 2.650, 1, 1, 79.999
47.183, 3.421, 2. 26, 1, 1, 79.999
49.157, 1. 23, 1.102, 1, 1, 39.999
50. 43, 0. 43, 0.987, 1, 1, 0.  0
47.989, 1.950, 1.195, 1, 1, 39.999
45.994, 4.347, 2.739, 1, 1, 79.999
45.994, 4.690, 2.876, 1, 1, 79.999
48. 89, 1.829, 1.182, 1, 1, 39.999
49.399, 0.882, 1.  0, 1, 1, 39.999
48. 89, 1.769, 1.176, 1, 1, 39.999
45.913, 3.360, 2.  8, 1, 1, 79.999
45.  7, 5. 73, 3.536, 1, 1, 119.999
47.283, 2.776, 1.555, 1, 1, 39.999
49.177, 1.487, 1.148, 1, 1, 39.999
48.673, 1.305, 1.130, 1, 1, 39.999
46.901, 2.978, 1.595, 1, 1, 39.999
46. 14, 4. 65, 2.626, 1, 1, 79.999
47.102, 2.816, 1.563, 1, 1, 39.999
48.794, 1. 84, 1.108, 1, 1, 39.999
49. 97, 0.902, 1.  0, 1, 1, 39.999
47.807, 1.789, 1.178, 1, 1, 39.999
47.102, 2.736, 1.547, 1, 1, 39.999
47.404, 2.172, 1.434, 1, 1, 39.999
48.714, 1.608, 1.160, 1, 1, 39.999
49.802, 0.258, 1.  0, 1, 1, 39.999
49.923, 0.318, 1.  0, 1, 1, 39.999
49.338, 0.782, 1.  0, 1, 1, 39.999
49.137, 1. 43, 1.104, 1, 1, 39.999
48.915, 1.  3, 1.100, 1, 1, 39.999
49.419, 1.104, 1.110, 1, 1, 39.999
49.761, 0.  3, 0.999, 1, 1, 0.  0
50.124, 0.164, 0.975, 1, 1, 0.  0
50.285, 1.305, 1.130, 1, 1, 39.999
50.205, 0.137, 1.  0, 1, 1, 39.999
50.426, 0.628, 0.931, 1, 1, 0.  0
49.701, 0.338, 0.898, 1, 1, 0.  0
49. 56, 0.983, 1.  0, 1, 1, 39.999
52.239, -2.4179, 0.374, 1, 1, 0.  0
51.796, -1.2857, 0.208, 1, 1, 0.  0
48.553, 1.406, 0.541, 1, 1, 0.  0
47. 82, 2.877, 1.411, 1, 1, 39.999
48.412, 1.869, 1.186, 1, 1, 39.999
52. 38, -1.2091, 0.842, 1, 1, 0.  0
51.293, -1.2413, 0.544, 1, 1, 0.  0
49.157, 0.802, 0.653, 1, 1, 0.  0
47.767, 1.386, 1. 85, 1, 1, 39.999
48.512, 1.648, 1.164, 1, 1, 39.999
49.761, 0.137, 1.  0, 1, 1, 39.999
50.386, 0.446, 0.954, 1, 1, 0.  0
49. 36, 0.802, 0.989, 1, 1, 0.  0
48.190, 1.869, 1.186, 1, 1, 39.999
48.391, 1.728, 1.172, 1, 1, 39.999
48.855, 1.164, 1.116, 1, 1, 39.999
49.137, 0.782, 1.  0, 1, 1, 39.999
49.157, 0.902, 1.  0, 1, 1, 39.999
49.117, 0.983, 1.  0, 1, 1, 39.999
48.935, 0.963, 1.  0, 1, 1, 39.999
48.694, 1.205, 1.120, 1, 1, 39.999
48.855, 1.184, 1.118, 1, 1, 39.999
49.177, 0.963, 1.  0, 1, 1, 39.999
49.560, 0.278, 1.  0, 1, 1, 39.999
49.802, 0.298, 1.  0, 1, 1, 39.999
49.540, 0.620, 1.  0, 1, 1, 39.999
49.137, 0.520, 1.  0, 1, 1, 39.999
50. 64, 1. 23, 1.102, 1, 1, 39.999
48.532, 0.399, 1.  0, 1, 1, 39.999
49.902, 0.285, 0.990, 1, 1, 0.  0
52.441, -2.4401, 0.199, 1, 1, 0.  0
50.205, 0.366, 0.424, 1, 1, 0.  0
47.888, 2.131, 1. 72, 1, 1, 39.999
47.888, 2.272, 1.454, 1, 1, 39.999
50.245, 0.184, 0.998, 1, 1, 0.  0
52. 38, -1.2978, 0.534, 1, 1, 0.  0
50.789, 0.507, 0.472, 1, 1, 0.  0
48.815, 1.386, 0.686, 1, 1, 0.  0
48.633, 1.346, 0.922, 1, 1, 0.  0
49.923, 0. 97, 0.910, 1, 1, 0.  0
51.393, -1.2333, 0.634, 1, 1, 0.  0
51.152, -1.2152, 0.415, 1, 1, 0.  0
49.721, 0.338, 0.459, 1, 1, 0.  0
49. 16, 0.963, 0.595, 1, 1, 0.  0
49.318, 0.681, 0.747, 1, 1, 0.  0
50.205, 0.164, 0.779, 1, 1, 0.  0
50.527, 0.547, 0.706, 1, 1, 0.  0
50.144, 0.245, 0.646, 1, 1, 0.  0
49.479, 0.379, 0.678, 1, 1, 0.  0
49.399, 0.580, 0.769, 1, 1, 0.  0
49.600, 0.379, 0.846, 1, 1, 0.  0
49.862, 0.157, 0.885, 1, 1, 0.  0
49.862, 0. 97, 0.904, 1, 1, 0.  0
49.741, 0.238, 0.940, 1, 1, 0.  0
49.661, 0.298, 0.986, 1, 1, 0.  0
50.  3, 0.124, 0.998, 1, 1, 0.  0
50.426, 0.366, 0.920, 1, 1, 0.  0
49.137, 0.802, 0.963, 1, 1, 0.  0
50.225, 0.298, 1.  0, 1, 1, 39.999
52.703, -2.4864, 0. 86, 1, 1, 0.  0
51.131, -1.2111, 0.160, 1, 1, 0.  0
48.371, 1.829, 0.603, 1, 1, 0.  0
47.445, 2.615, 1.405, 1, 1, 39.999
50.124, 0.600, 1.  0, 1, 1, 39.999
52.602, -2.4602, 0.182, 1, 1, 0.  0
50.869, 0.970, 0.366, 1, 1, 0.  0
