
 System Startup!

 Motor Initialized! 

 Load Cell Configured! 

 Controller Initialized! 
79.760, -29.58760, -86.172304, 0, 1, 3440.  0
41.179, -9.18472, -8.16525, 0, 1, 319.999
39.749, 10.250, 10.353, 1, 1, 400.  0
26.492, 23.507, 54.404, 1, 1, 2160.  0
18.333, 31.666, 99.137, 1, 1, 3960.  0
25.163, 24.836, 60.608, 1, 1, 2400.  0
26.492, 23.507, 55. 66, 1, 1, 2200.  0
41.320, 8.679, 7.943, 1, 1, 280.  0
74.340, -9.18694, -7.14821, 0, 1, 280.  0
75.932, -25.50932, -64.128186, 0, 1, 2559.999
82.500, -32.64500, -104.208000, 0, 1, 4000.  0
82.500, -32.64500, -104.208000, 0, 1, 4000.  0
82.379, -32.64379, -103.206613, 0, 1, 4000.  0
62.857, -12.24857, -15.30428, 0, 1, 600.  0
25.888, 8.780, 7.111, 1, 1, 280.  0
15.432, 25.421, 63.895, 1, 1, 2519.999
16.358, 33.641, 111.693, 1, 1, 4000.  0
11.423, 38.576, 147.592, 1, 1, 4000.  0
18.937, 31. 62, 97.293, 1, 1, 3880.  0
51.393, 15. 45, 23.568, 1, 1, 920.  0
53.267, -3.6267, 0. 12, 0, 1, 0.  0
69.686, -19.38686, -36.72634, 0, 1, 1440.  0
82.298, -32.64298, -102.204907, 0, 1, 4000.  0
82.500, -32.64500, -103.206877, 0, 1, 4000.  0
82.500, -32.64500, -104.208000, 0, 1, 4000.  0
65.858, -15.30858, -23.46788, 0, 1, 920.  0
45.430, 4.569, 1.873, 1, 1, 39.999
27.399, 22.600, 49.993, 1, 1, 1960.  0
15.512, 34.487, 117.872, 1, 1, 4000.  0
7.554, 42.445, 179.269, 1, 1, 4000.  0
11.382, 38.617, 147.745, 1, 1, 4000.  0
25.706, 24.293, 59.303, 1, 1, 2359.999
43.899, 6.100, 4.660, 1, 1, 159.999
59.875, -9.18875, -7.14986, 0, 1, 280.  0
82.459, -24.48300, -57.114662, 0, 1, 2279.999
82.500, -32.64500, -103.206666, 0, 1, 4000.  0
74.501, -32.64500, -104.208000, 0, 1, 4000.  0
72.769, -22.44769, -50.100092, 0, 1, 2000.  0
52.320, -2.4320, 0.464, 0, 1, 0.  0
32.979, 17. 20, 29.274, 1, 1, 1159.999
7.595, 42.404, 179.100, 1, 1, 4000.  0
10.113, 39.886, 156.557, 1, 1, 4000.  0
6.386, 43.613, 188.538, 1, 1, 4000.  0
15.754, 34.245, 117.434, 1, 1, 4000.  0
48.170, 1.829, 1.182, 1, 1, 39.999
49.802, 0.197, 1.  0, 1, 1, 39.999
62.877, -12.24877, -14.28581, 0, 1, 560.  0
81.653, -26.52032, -67.134074, 0, 1, 2680.  0
82.500, -32.64500, -103.206714, 0, 1, 4000.  0
67.672, -32.64258, -103.206226, 0, 1, 4000.  0
65.597, -15.30597, -23.46395, 0, 1, 920.  0
46.739, 3.260, 1. 43, 1, 1, 39.999
28. 64, 21.935, 46.349, 1, 1, 1840.  0
