Sample: 134, LoadCell: 2720, Duty: 3, Dir: 0
Sample: 135, LoadCell: 2704, Duty: 3, Dir: 0
Sample: 136, LoadCell: 2724, Duty: 3, Dir: 0
Sample: 137, LoadCell: 2689, Duty: 3, Dir: 0
Sample: 138, LoadCell: 2711, Duty: 3, Dir: 0
Sample: 139, LoadCell: 2720, Duty: 3, Dir: 0
Sample: 140, LoadCell: 2688, Duty: 3, Dir: 0
Sample: 141, LoadCell: 2713, Duty: 3, Dir: 0
Sample: 142, LoadCell: 2678, Duty: 3, Dir: 0
Sample: 143, LoadCell: 2678, Duty: 3, Dir: 0
Sample: 144, LoadCell: 2703, Duty: 3, Dir: 0
Sample: 145, LoadCell: 2725, Duty: 3, Dir: 0
Sample: 146, LoadCell: 2694, Duty: 3, Dir: 0
Sample: 147, LoadCell: 2715, Duty: 3, Dir: 0
Sample: 148, LoadCell: 2725, Duty: 3, Dir: 0
Sample: 149, LoadCell: 2723, Duty: 3, Dir: 0
Sample: 150, LoadCell: 2681, Duty: 3, Dir: 0
Sample: 151, LoadCell: 2698, Duty: 3, Dir: 0
Sample: 152, LoadCell: 2680, Duty: 3, Dir: 0
Sample: 153, LoadCell: 2724, Duty: 3, Dir: 0
Sample: 154, LoadCell: 2685, Duty: 3, Dir: 0
Sample: 155, LoadCell: 2727, Duty: 3, Dir: 0
Sample: 156, LoadCell: 2726, Duty: 3, Dir: 0
Sample: 157, LoadCell: 2682, Duty: 3, Dir: 0
Sample: 158, LoadCell: 2722, Duty: 3, Dir: 0
Sample: 159, LoadCell: 2730, Duty: 3, Dir: 0
Sample: 160, LoadCell: 2726, Duty: 3, Dir: 0
Sample: 161, LoadCell: 2685, Duty: 3, Dir: 0
Sample: 162, LoadCell: 2721, Duty: 3, Dir: 0
Sample: 163, LoadCell: 2721, Duty: 3, Dir: 0
Sample: 164, LoadCell: 2721, Duty: 3, Dir: 0
Sample: 165, LoadCell: 2687, Duty: 3, Dir: 0
Sample: 166, LoadCell: 2729, Duty: 3, Dir: 0
Sample: 167, LoadCell: 2733, Duty: 3, Dir: 0
Sample: 168, LoadCell: 2695, Duty: 3, Dir: 0
Sample: 169, LoadCell: 2705, Duty: 3, Dir: 0
Sample: 170, LoadCell: 2695, Duty: 3, Dir: 0
Sample: 171, LoadCell: 2737, Duty: 3, Dir: 0
Sample: 172, LoadCell: 2698, Duty: 3, Dir: 0
Sample: 173, LoadCell: 2709, Duty: 3, Dir: 0
Sample: 174, LoadCell: 2725, Duty: 3, Dir: 0
Sample: 175, LoadCell: 2728, Duty: 3, Dir: 0
Sample: 176, LoadCell: 2704, Duty: 3, Dir: 0
Sample: 177, LoadCell: 2722, Duty: 3, Dir: 0
Sample: 178, LoadCell: 2711, Duty: 3, Dir: 0
Sample: 179, LoadCell: 2704, Duty: 3, Dir: 0
Sample: 180, LoadCell: 2701, Duty: 3, Dir: 0
Sample: 181, LoadCell: 2719, Duty: 3, Dir: 0
Sample: 182, LoadCell: 2693, Duty: 3, Dir: 0
Sample: 183, LoadCell: 2683, Duty: 3, Dir: 0
Sample: 184, LoadCell: 2709, Duty: 3, Dir: 0
Sample: 185, LoadCell: 2698, Duty: 3, Dir: 0
Sample: 186, LoadCell: 2725, Duty: 3, Dir: 0
Sample: 187, LoadCell: 2718, Duty: 3, Dir: 0
Sample: 188, LoadCell: 2726, Duty: 3, Dir: 1
Sample: 189, LoadCell: 2701, Duty: 3, Dir: 1
Sample: 190, LoadCell: 2728, Duty: 3, Dir: 1
Sample: 191, LoadCell: 2734, Duty: 3, Dir: 1
Sample: 192, LoadCell: 2691, Duty: 3, Dir: 1
Sample: 193, LoadCell: 2688, Duty: 3, Dir: 1
Sample: 194, LoadCell: 2724, Duty: 3, Dir: 1
Sample: 195, LoadCell: 2694, Duty: 3, Dir: 1
Sample: 196, LoadCell: 2685, Duty: 3, Dir: 1
Sample: 197, LoadCell: 2728, Duty: 3, Dir: 1
Sample: 198, LoadCell: 2679, Duty: 3, Dir: 1
Sample: 199, LoadCell: 2725, Duty: 3, Dir: 1
Sample: 200, LoadCell: 2722, Duty: 3, Dir: 1
Sample: 201, LoadCell: 2695, Duty: 3, Dir: 1
Sample: 202, LoadCell: 2682, Duty: 3, Dir: 1
Sample: 203, LoadCell: 2701, Duty: 3, Dir: 1
Sample: 204, LoadCell: 2677, Duty: 3, Dir: 1
Sample: 205, LoadCell: 2701, Duty: 3, Dir: 1
Sample: 206, LoadCell: 2685, Duty: 3, Dir: 1
Sample: 207, LoadCell: 2692, Duty: 3, Dir: 1
Sample: 208, LoadCell: 2683, Duty: 3, Dir: 1
Sample: 209, LoadCell: 2678, Duty: 3, Dir: 1
Sample: 210, LoadCell: 2724, Duty: 3, Dir: 1
Sample: 211, LoadCell: 2677, Duty: 3, Dir: 1
Sample: 212, LoadCell: 2706, Duty: 3, Dir: 1
Sample: 213, LoadCell: 2695, Duty: 3, Dir: 1
Sample: 214, LoadCell: 2713, Duty: 3, Dir: 1
Sample: 215, LoadCell: 2728, Duty: 3, Dir: 1
Sample: 216, LoadCell: 2685, Duty: 3, Dir: 1
Sample: 217, LoadCell: 2730, Duty: 3, Dir: 1
Sample: 218, LoadCell: 2723, Duty: 3, Dir: 1
Sample: 219, LoadCell: 2718, Duty: 3, Dir: 1
Sample: 220, LoadCell: 2710, Duty: 3, Dir: 1
Sample: 221, LoadCell: 2719, Duty: 3, Dir: 1
Sample: 222, LoadCell: 2680, Duty: 3, Dir: 1
Sample: 223, LoadCell: 2731, Duty: 3, Dir: 1
Sample: 224, LoadCell: 2683, Duty: 3, Dir: 1
